,Date,Time from,Time to,betr. NEG [MW],betr. POS [MW],qual. NEG [MW],qual. POS [MW],tso_id,data_type,betr. [MW],qual. [MW],qual. [EUR/MWh],NRV balance more than 80% of the contracted control reserve,MOL Deviation,Explanation
0,05.02.2022,00:00,00:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
1,05.02.2022,00:15,00:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
2,05.02.2022,00:30,00:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
3,05.02.2022,00:45,01:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
4,05.02.2022,01:00,01:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
5,05.02.2022,01:15,01:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
6,05.02.2022,01:30,01:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
7,05.02.2022,01:45,02:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
8,05.02.2022,02:00,02:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
9,05.02.2022,02:15,02:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
10,05.02.2022,02:30,02:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
11,05.02.2022,02:45,03:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
12,05.02.2022,03:00,03:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
13,05.02.2022,03:15,03:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
14,05.02.2022,03:30,03:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
15,05.02.2022,03:45,04:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
16,05.02.2022,04:00,04:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
17,05.02.2022,04:15,04:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
18,05.02.2022,04:30,04:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
19,05.02.2022,04:45,05:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
20,05.02.2022,05:00,05:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
21,05.02.2022,05:15,05:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
22,05.02.2022,05:30,05:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
23,05.02.2022,05:45,06:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
24,05.02.2022,06:00,06:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
25,05.02.2022,06:15,06:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
26,05.02.2022,06:30,06:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
27,05.02.2022,06:45,07:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
28,05.02.2022,07:00,07:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
29,05.02.2022,07:15,07:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
30,05.02.2022,07:30,07:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
31,05.02.2022,07:45,08:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
32,05.02.2022,08:00,08:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
33,05.02.2022,08:15,08:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
34,05.02.2022,08:30,08:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
35,05.02.2022,08:45,09:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
36,05.02.2022,09:00,09:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
37,05.02.2022,09:15,09:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
38,05.02.2022,09:30,09:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
39,05.02.2022,09:45,10:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
40,05.02.2022,10:00,10:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
41,05.02.2022,10:15,10:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
42,05.02.2022,10:30,10:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
43,05.02.2022,10:45,11:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
44,05.02.2022,11:00,11:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
45,05.02.2022,11:15,11:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
46,05.02.2022,11:30,11:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
47,05.02.2022,11:45,12:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
48,05.02.2022,12:00,12:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
49,05.02.2022,12:15,12:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
50,05.02.2022,12:30,12:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
51,05.02.2022,12:45,13:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
52,05.02.2022,13:00,13:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
53,05.02.2022,13:15,13:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
54,05.02.2022,13:30,13:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
55,05.02.2022,13:45,14:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
56,05.02.2022,14:00,14:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
57,05.02.2022,14:15,14:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
58,05.02.2022,14:30,14:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
59,05.02.2022,14:45,15:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
60,05.02.2022,15:00,15:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
61,05.02.2022,15:15,15:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
62,05.02.2022,15:30,15:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
63,05.02.2022,15:45,16:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
64,05.02.2022,16:00,16:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
65,05.02.2022,16:15,16:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
66,05.02.2022,16:30,16:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
67,05.02.2022,16:45,17:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
68,05.02.2022,17:00,17:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
69,05.02.2022,17:15,17:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
70,05.02.2022,17:30,17:45,"0,000","0,000",-,-,Amprion,MR,,,,,,
71,05.02.2022,17:45,18:00,"0,000","0,000",-,-,Amprion,MR,,,,,,
72,05.02.2022,18:00,18:15,"0,000","0,000",-,-,Amprion,MR,,,,,,
73,05.02.2022,18:15,18:30,"0,000","0,000",-,-,Amprion,MR,,,,,,
